Subhead,Description,Canada,,USA,,Mexico,
,,,,,,2915.90.16,C
,,,,,,2915.90.17,C
,,,,,,2915.90.18,C
,,,,,,2915.90.19,A
,,,,,,2915.90.20,A
,,,,,,2915.90.21,C
,,,,,,2915.90.22,A
,,,,,,2915.90.23,A
,,,,,,2915.90.24,A
,,,,,,2915.90.25,A
,,,,,,2915.90.26,A
,,,,,,2915.90.27,A
,,,,,,2915.90.28,A
,,,,,,2915.90.29,C
,,,,,,2915.90.30,A
,,,,,,2915.90.99,C
,,,,,,,
2916.11,Acrylic acid and its salts,2916.11.00,D,2916.11.00,C,2916.11.01,C
,,,,,,,
2916.12,Acrylic acid esters,2916.12.10,D,2916.12.10,A,2916.12.01,C
,,2916.12.90,C,2916.12.50,A,2916.12.02,C
,,,,,,2916.12.03,C
,,,,,,2916.12.99,C
,,,,,,,
2916.13,Methacrylic acid and its salts,2916.13.00,D,2916.13.00,A,2916.13.01,A
,,,,,,,
2916.14,Methacrylic acid esters,2916.14.00,A,2916.14.00,A,2916.14.01,C
,,,,,,2916.14.02,A
,,,,,,2916.14.03,A
,,,,,,,
,,,,,,2916.14.04,A
,,,,,,2916.14.99,C
,,,,,,,
2916.15,"Oleic,linoleic or linolenic acids, their salts and esters",2916.15.00,C,2916.15.10,C,2916.15.01,C
,,,,2916.15.50,A,2916.15.02,C
,,,,,,2916.15.03,C
,,,,,,2916.15.04,C
,,,,,,2916.15.05,C
,,,,,,2916.15.99,C
,,,,,,,
2916.19,Unsaturated acyclic monocarboxylic acids and their derivatives,2916.19.00,A,2916.19.10,A,2916.19.01,A
,,,,2916.19.20,A,2916.19.02,A
,,,,2916.19.30,A,2916.19.03,A
,,,,2916.19.50,A,2916.19.04,A
,,,,,,2916.19.05,C
,,,,,,2916.19.06,A
,,,,,,,
,,,,,,2916.19.99,A
,,,,,,,
2916.20,"Cyclanic, cyclenic or cycloterpenic mono carboxylic acids and",2916.20.00,A,2916.20.00,A,2916.20.01,A
,,,,,,2916.20.02,A
,,,,,,2916.20.03,A
,,,,,,2916.20.99,A
,,,,,,,
2916.31,"Benzoic acid, its salts and esters",2916.31.00,C,2916.31.10,A,2916.31.01,C
,,,,2916.31.20,A,2916.31.02,C
,,,,2916.31.30,C,2916.31.03,C
,,,,2916.31.50,C,2916.31.04,C
,,,,,,2916.31.99,B
,,,,,,,
2916.32,Benzoyl peroxide and benzoyl chloride,2916.32.00,A,2916.32.10,C,2916.32.01,C
,,,,2916.32.20,C,2916.32.02,C
,,,,,,,
2916.33,"Phenylacetic acid, its salts and esters",2916.33.00,A,2916.33.10,A,2916.33.01,A
,,,,2916.33.20,A,,
,,,,2916.33.30,A,,
,,,,2916.33.50,A,,
,,,,,,,
2916.39,"Aromatic monocarboxylic acids and their derivatives, nes",2916.39.00,A,2916.39.04,C,2916.39.01,A
,,,,2916.39.08,A,2916.39.02,A
,,,,2916.39.12,A,2916.39.03,A
,,,,2916.39.15,A,2916.39.04,A
,,,,2916.39.16,A,2916.39.05,A
,,,,2916.39.20,A,2916.39.99,C
,,,,2916.39.40,C,,
,,,,2916.39.60,C,,
,,,,,,,
2917.11,"Oxalic acid, its salts and esters",2917.11.00,A,2917.11.00,A,2917.11.01,C
,,,,,,2917.11.02,C
,,,,,,,
2917.12,"Adipic acid, its salts and esters",2917.12.00,C,2917.12.10,C,2917.12.01,C
,,,,2917.12.20,A,,
,,,,2917.12.50,C,,
,,,,,,,
2917.13,"Azelaic acid, sebacic acid, their salts and esters",2917.13.00,A,2917.13.00,A,2917.13.01,A
,,,,,,2917.13.02,A
,,,,,,2917.13.99,A
,,,,,,,
2917.14,Maleic anhydride,2917.14.00,C,2917.14.10,A,2917.14.01,C
,,,,2917.14.50,A,,
,,,,,,,
2917.19,"Acyclic polycarboxylic acids and their derivatives, nes",2917.19.00,A,2917.19.10,C,2917.19.01,C
,,,,2917.19.15,A,2917.19.02,A
,,,,2917.19.17,A,2917.19.03,A
,,,,2917.19.20,A,2917.19.04,A
,,,,2917.19.23,A,2917.19.05,A
,,,,2917.19.27,C,2917.19.06,A
,,,,2917.19.30,A,2917.19.07,A
,,,,,,,
,,,,2917.19.40,A,2917.19.08,A
,,,,2917.19.50,A,2917.19.09,A
,,,,,,2917.19.99,A
,,,,,,,
2917.20,"Cyclanic, cyclenic or cycloterpenic poly carboxylic acids and",2917.20.00,A,2917.20.00,C,2917.20.01,A
,,,,,,2917.20.99,A
,,,,,,,
2917.31,Dibutyl orthophthalates,2917.31.00,C,2917.31.00,A,2917.31.01,C
,,,,,,,
2917.32,Dioctyl orthophthalates,2917.32.00,C,2917.32.00,A,2917.32.01,C
,,,,,,,
2917.33,Dinonyl or didecyl orthophthalates,2917.33.00,C,2917.33.00,A,2917.33.01,C
,,,,,,,
2917.34,"Orthophthalic acid esters, nes",2917.34.00,C,2917.34.00,A,2917.34.01,C
,,,,,,,
2917.35,Phthalic anhydride,2917.35.00,C,2917.35.00,A,2917.35.01,C
,,,,,,,
2917.36,Terephthalic acid and its salts,2917.36.00,D,2917.36.00,C,2917.36.01,C
,,,,,,,
2917.37,Dimethyl terephthalate,2917.37.00,D,2917.37.00,A,2917.37.01,C
,,,,,,,
2917.39,"Aromatic polycarboxylic acids and their derivatives, nes",2917.39.00,B,2917.39.10,A,2917.39.01,A
,,,,2917.39.15,A,2917.39.02,A
,,,,2917.39.17,A,2917.39.03,A
,,,,2917.39.20,A,2917.39.04,B
,,,,2917.39.30,A,2917.39.05,A
,,,,2917.39.50,C,2917.39.06,A
,,,,,,2917.39.07,A
,,,,,,2917.39.99,C
,,,,,,,
2918.11,"Lactic acid, its salts and esters",2918.11.10,D,2918.11.10,A,2918.11.01,C
,,2918.11.20,A,2918.11.50,A,,
,,,,,,,
2918.12,Tartaric acid,2918.12.00,A,2918.12.00,A,2918.12.01,A
,,,,,,,
2918.13,Salts and esters of tartaric acid,2918.13.10,D,2918.13.10,A,2918.13.01,A
,,2918.13.20,A,2918.13.20,A,2918.13.02,A
,,2918.13.90,A,2918.13.30,A,2918.13.03,A
,,,,2918.13.50,A,2918.13.04,A
,,,,,,2918.13.99,C
,,,,,,,
2918.14,Citric acid,2918.14.00,A,2918.14.00,A,2918.14.01,C
,,,,,,,
2918.15,Salts and esters of citric acid,2918.15.10,D,2918.15.10,A,2918.15.01,C
,,2918.15.20,D,2918.15.50,A,2918.15.02,A
,,2918.15.90,A,,,2918.15.03,A
,,,,,,2918.15.04,A
,,,,,,2918.15.05,A
,,,,,,2918.15.99,A
,,,,,,,
2918.16,"Gluconic acid, its salts and esters",2918.16.10,D,2918.16.10,A,2918.16.01,A
,,,,,,,
,,2918.16.20,A,2918.16.50,A,2918.16.99,A
,,,,,,,
2918.17,"Phenylglycolic acid (mandelic acid), its salts and esters",2918.17.00,A,2918.17.10,A,2918.17.01,A
,,,,2918.17.50,A,2918.17.99,A
,,,,,,,
2918.19,Carboxylic acids with alcohol function only and their,2918.19.10,D,2918.19.10,A,2918.19.01,A
,,2918.19.90,A,2918.19.20,A,2918.19.02,A
,,,,2918.19.30,A,2918.19.03,A
,,,,2918.19.60,A,2918.19.04,A
,,,,2918.19.90,A,2918.19.05,C
,,,,,,2918.19.06,A
,,,,,,2918.19.07,A
,,,,,,2918.19.08,A
,,,,,,2918.19.09,A
,,,,,,2918.19.10,A
,,,,,,2918.19.11,A
,,,,,,2918.19.12,A
,,,,,,2918.19.13,A
,,,,,,2918.19.14,A
,,,,,,2918.19.15,A
,,,,,,2918.19.99,A
,,,,,,,
2918.21,Salicylic acid and its salts,2918.21.00,D,2918.21.10,A,2918.21.01,C
,,,,2918.21.50,C,2918.21.02,C
,,,,,,2918.21.99,B
,,,,,,,
2918.22,"O-acetylsalicylic acid, its salts and esters",2918.22.10,D,2918.22.10,A,2918.22.01,C
,,2918.22.90,A,2918.22.50,A,2918.22.99,A
,,,,,,,
2918.23,"Salicylic acid esters, nes, and their salts",2918.23.00,A,2918.23.10,A,2918.23.01,C
,,,,2918.23.20,A,2918.23.02,A
,,,,2918.23.30,C,2918.23.03,C
,,,,2918.23.50,C,2918.23.99,C
,,,,,,,
2918.29,Carboxylic acids with phenol function only and their,2918.29.00,A,2918.29.10,C,2918.29.01,C
,,,,2918.29.20,A,2918.29.02,B
,,,,2918.29.22,A,2918.29.03,A
,,,,2918.29.30,A,2918.29.04,C
,,,,2918.29.40,A,2918.29.05,A
,,,,2918.29.50,C,2918.29.06,A
,,,,,,2918.29.07,A
,,,,,,2918.29.99,A
,,,,,,,
2918.30,Carboxylic acids with aldehyde or ketone function only and,2918.30.00,B,2918.30.10,A,2918.30.01,C
,,,,2918.30.20,A,2918.30.02,A
,,,,2918.30.30,A,2918.30.03,A
,,,,2918.30.50,A,2918.30.04,A
,,,,,,2918.30.05,A
,,,,,,2918.30.06,A
,,,,,,2918.30.07,A
,,,,,,2918.30.08,A
,,,,,,,
,,,,,,2918.30.09,C
,,,,,,2918.30.99,A
,,,,,,,
2918.90,"Carboxylic acids with additional oxygen functions, nes and",2918.90.00,A,2918.90.05,C,2918.90.01,C
,,,,2918.90.10,A,2918.90.02,A
,,,,2918.90.20,A,2918.90.03,C
,,,,2918.90.30,A,2918.90.04,C
,,,,2918.90.35,A,2918.90.05,A
,,,,2918.90.40,C,2918.90.06,A
,,,,2918.90.45,C,2918.90.07,A
,,,,2918.90.50,A,2918.90.08,A
,,,,,,2918.90.09,A
,,,,,,2918.90.10,A
,,,,,,2918.90.11,A
,,,,,,2918.90.12,A
,,,,,,2918.90.13,A
,,,,,,2918.90.14,A
,,,,,,2918.90.15,A
,,,,,,2918.90.16,A
,,,,,,2918.90.17,A
,,,,,,2918.90.18,A
,,,,,,2918.90.19,A
,,,,,,2918.90.20,A
,,,,,,2918.90.21,A
,,,,,,2918.90.22,C
,,,,,,2918.90.23,A
,,,,,,2918.90.24,C
,,,,,,2918.90.25,A
,,,,,,2918.90.99,A
,,,,,,,
2919.00,"Phosphoric esters, their salts and their derivatives",2919.00.10,D,2919.00.10,A,2919.00.01,A
,,2919.00.90,A,2919.00.30,A,2919.00.02,A
,,,,2919.00.50,A,2919.00.03,C
,,,,,,2919.00.04,A
,,,,,,2919.00.05,A
,,,,,,2919.00.06,A
,,,,,,2919.00.07,A
,,,,,,2919.00.08,A
,,,,,,2919.00.09,A
,,,,,,2919.00.10,A
,,,,,,2919.00.11,A
,,,,,,2919.00.12,C
,,,,,,2919.00.13,C
,,,,,,2919.00.99,A
,,,,,,,
2920.10,Thiophosphoric esters(phosphorothioates) their salts and their,2920.10.00,A,2920.10.10,A,2920.10.01,A
,,,,2920.10.20,A,2920.10.02,C
,,,,2920.10.50,A,2920.10.03,A
,,,,,,2920.10.99,A
,,,,,,,
2920.90,"Esters of inorganic acids, nes, their salts and their",2920.90.10,A,2920.90.10,A,2920.90.01,A
,,,,,,,
,,2920.90.20,D,2920.90.20,B,2920.90.02,A
,,2920.90.90,A,2920.90.50,A,2920.90.03,A
,,,,,,2920.90.04,C
,,,,,,2920.90.05,A
,,,,,,2920.90.06,A
,,,,,,2920.90.07,A
,,,,,,2920.90.08,A
,,,,,,2920.90.09,C
,,,,,,2920.90.10,A
,,,,,,2920.90.11,A
,,,,,,2920.90.12,A
,,,,,,2920.90.13,A
,,,,,,2920.90.14,A
,,,,,,2920.90.15,A
,,,,,,2920.90.16,A
,,,,,,2920.90.17,A
,,,,,,2920.90.99,A
,,,,,,,
2921.11,"Methylamine, di- or trimethylamine and their salts",2921.11.00,C,2921.11.00,A,2921.11.01,C
,,,,,,2921.11.02,C
,,,,,,2921.11.03,C
,,,,,,2921.11.99,C
,,,,,,,
2921.12,Diethylamine and its salts,2921.12.00,C,2921.12.00,A,2921.12.01,C
,,,,,,2921.12.02,A
,,,,,,,
2921.19,"Acyclic monoamines nes, and their derivatives; salts thereof",2921.19.00,C,2921.19.10,A,2921.19.01,A
,,,,2921.19.50,A,2921.19.02,C
,,,,,,2921.19.03,C
,,,,,,2921.19.04,C
,,,,,,2921.19.05,C
,,,,,,2921.19.06,C
,,,,,,2921.19.07,C
,,,,,,2921.19.08,C
,,,,,,2921.19.09,A
,,,,,,2921.19.10,A
,,,,,,2921.19.11,A
,,,,,,2921.19.12,C
,,,,,,2921.19.99,C
,,,,,,,
2921.21,Ethylenediamine and its salts,2921.21.00,C,2921.21.00,A,2921.21.01,C
,,,,,,2921.21.02,A
,,,,,,,
2921.22,Hexamethylenediamine and its salts,2921.22.00,C,2921.22.05,A,2921.22.01,C
,,,,2921.22.10,C,,
,,,,2921.22.50,A,,
,,,,,,,
2921.29,"Acyclic polyamines nes, and their derivatives; salts thereof",2921.29.00,B,2921.29.00,A,2921.29.01,C
,,,,,,2921.29.02,C
,,,,,,2921.29.03,C
,,,,,,2921.29.04,A
,,,,,,,
,,,,,,2921.29.05,A
,,,,,,2921.29.06,A
,,,,,,2921.29.07,A
,,,,,,2921.29.08,C
,,,,,,2921.29.09,C
,,,,,,2921.29.10,A
,,,,,,2921.29.11,A
,,,,,,2921.29.99,C
,,,,,,,
2921.30,"Cyclanic,cyclenic or cycloterpenic monoor polyamines & derivs;",2921.30.00,B,2921.30.10,C,2921.30.01,C
,,,,2921.30.20,C,2921.30.02,A
,,,,2921.30.50,A,2921.30.99,A
,,,,,,,
2921.41,Aniline and its salts,2921.41.00,C,2921.41.10,C,2921.41.01,C
,,,,2921.41.20,C,,
,,,,,,,
2921.42,Aniline derivatives and their salts,2921.42.00,A,2921.42.10,C,2921.42.01,A
,,,,2921.42.20,A,2921.42.02,A
,,,,2921.42.23,A,2921.42.03,A
,,,,2921.42.24,A,2921.42.04,A
,,,,2921.42.25,A,2921.42.05,A
,,,,2921.42.30,A,2921.42.06,A
,,,,2921.42.70,C,2921.42.07,A
,,,,,,2921.42.08,A
,,,,,,2921.42.09,A
,,,,,,2921.42.10,A
,,,,,,2921.42.11,B
,,,,,,2921.42.12,A
,,,,,,2921.42.13,A
,,,,,,2921.42.14,A
,,,,,,2921.42.15,A
,,,,,,2921.42.16,A
,,,,,,2921.42.17,A
,,,,,,2921.42.18,A
,,,,,,2921.42.20,A
,,,,,,2921.42.21,A
,,,,,,2921.42.22,A
,,,,,,2921.42.99,A
,,,,,,,
2921.43,Toluidines and their derivatives; salts thereof,2921.43.00,B,2921.43.10,A,2921.43.01,A
,,,,2921.43.15,C,2921.43.02,A
,,,,2921.43.18,A,2921.43.03,A
,,,,2921.43.20,C,2921.43.04,C
,,,,2921.43.60,C,2921.43.05,A
,,,,,,2921.43.06,A
,,,,,,2921.43.07,A
,,,,,,2921.43.09,A
,,,,,,2921.43.99,A
,,,,,,,
2921.44,Diphenylamine and its derivatives; salts thereof,2921.44.00,B,2921.44.10,C,2921.44.01,A
,,,,2921.44.20,C,2921.44.02,D
,,,,,,,
,,,,2921.44.50,C,2921.44.03,C
,,,,,,2921.44.04,C
,,,,,,2921.44.05,A
,,,,,,2921.44.06,A
,,,,,,2921.44.99,A
,,,,,,,
2921.45,"1-naphthylamine, 2-naphthylamine and their derivatives; salts",2921.45.00,A,2921.45.10,A,2921.45.01,A
,,,,2921.45.20,A,2921.45.02,A
,,,,2921.45.30,A,2921.45.03,A
,,,,2921.45.50,A,2921.45.04,A
,,,,,,2921.45.05,A
,,,,,,2921.45.06,A
,,,,,,2921.45.07,A
,,,,,,2921.45.08,A
,,,,,,2921.45.09,A
,,,,,,2921.45.99,A
,,,,,,,
2921.49,"Aromatic monoamines nes, and their derivatives; salts thereof",2921.49.00,A,2921.49.10,A,2921.49.01,A
,,,,2921.49.20,A,2921.49.02,A
,,,,2921.49.30,A,2921.49.03,A
,,,,2921.49.35,A,2921.49.04,A
,,,,2921.49.40,A,2921.49.05,A
,,,,2921.49.45,A,2921.49.06,A
,,,,2921.49.50,C,2921.49.07,A
,,,,,,2921.49.08,A
,,,,,,2921.49.09,D
,,,,,,2921.49.99,A
,,,,,,,
2921.51,"O-,M-,P-phenylenediamine,diaminotoluenes and their derivatives",2921.51.00,A,2921.51.10,A,2921.51.01,A
,,,,2921.51.20,A,2921.51.02,D
,,,,2921.51.30,A,2921.51.03,A
,,,,2921.51.50,A,2921.51.04,A
,,,,,,2921.51.05,A
,,,,,,2921.51.99,A
,,,,,,,
2921.59,"Aromatic polyamines nes, and their derivatives; salts thereof",2921.59.00,A,2921.59.10,A,2921.59.01,A
,,,,2921.59.20,C,2921.59.02,A
,,,,2921.59.30,A,2921.59.03,A
,,,,2921.59.40,A,2921.59.04,A
,,,,2921.59.50,C,2921.59.05,A
,,,,,,2921.59.07,C
,,,,,,2921.59.08,A
,,,,,,2921.59.99,B
,,,,,,,
2922.11,Monoethanolmine and its salts,2922.11.00,C,2922.11.00,A,2922.11.01,C
,,,,,,2922.11.99,C
,,,,,,,
2922.12,Diethanolamine and its salts,2922.12.00,B,2922.12.00,A,2922.12.01,C
,,,,,,2922.12.99,A
,,,,,,,
2922.13,Triethanolamine and its salts,2922.13.00,B,2922.13.00,A,2922.13.01,C
,,,,,,,
,,,,,,2922.13.99,A
,,,,,,,
2922.19,"Amino-alcohols nes, their ethers and esters; salts thereof",2922.19.00,A,2922.19.10,A,2922.19.01,A
,,,,2922.19.12,A,2922.19.02,C
,,,,2922.19.15,A,2922.19.03,A
,,,,2922.19.20,A,2922.19.04,A
,,,,2922.19.30,A,2922.19.05,A
,,,,2922.19.40,A,2922.19.06,A
,,,,2922.19.50,A,2922.19.07,C
,,,,,,2922.19.08,A
,,,,,,2922.19.09,A
,,,,,,2922.19.10,A
,,,,,,2922.19.11,A
,,,,,,2922.19.12,A
,,,,,,2922.19.13,A
,,,,,,2922.19.14,A
,,,,,,2922.19.15,A
,,,,,,2922.19.16,A
,,,,,,2922.19.17,A
,,,,,,2922.19.18,A
,,,,,,2922.19.19,A
,,,,,,2922.19.20,A
,,,,,,2922.19.21,A
,,,,,,2922.19.22,A
,,,,,,2922.19.23,A
,,,,,,2922.19.24,C
,,,,,,2922.19.99,A
,,,,,,,
2922.21,Aminohydroxynaphthalenesulphonic acids and their salts,2922.21.00,A,2922.21.10,A,2922.21.01,A
,,,,2922.21.20,A,2922.21.02,A
,,,,2922.21.50,A,2922.21.03,A
,,,,,,2922.21.04,A
,,,,,,2922.21.05,A
,,,,,,2922.21.06,A
,,,,,,2922.21.99,A
,,,,,,,
2922.22,"Anisidines, dianisidines, phenetidines, and their salts",2922.22.00,A,2922.22.10,A,2922.22.01,A
,,,,2922.22.20,A,2922.22.02,A
,,,,2922.22.50,A,2922.22.03,A
,,,,,,2922.22.04,A
,,,,,,2922.22.05,A
,,,,,,2922.22.06,A
,,,,,,2922.22.07,A
,,,,,,2922.22.08,A
,,,,,,2922.22.99,A
,,,,,,,
2922.29,"Amino-naphthols & other amino-phenols, nes,their ethers &",2922.29.00,A,2922.29.10,A,2922.29.01,A
,,,,2922.29.15,A,2922.29.02,A
,,,,2922.29.20,A,2922.29.03,A
,,,,2922.29.23,A,2922.29.04,A
,,,,2922.29.25,A,2922.29.05,A
,,,,,,,
,,,,2922.29.27,A,2922.29.06,A
,,,,2922.29.29,A,2922.29.07,A
,,,,2922.29.35,C,2922.29.08,A
,,,,2922.29.50,A,2922.29.99,A
,,,,,,,
2922.30,"Amino-aldehydes, amino-ketones & aminoquinones; salts thereof",2922.30.00,A,2922.30.10,C,2922.30.01,A
,,,,2922.30.20,C,2922.30.02,A
,,,,2922.30.30,C,2922.30.03,A
,,,,2922.30.50,A,2922.30.04,A
,,,,,,2922.30.05,A
,,,,,,2922.30.06,A
,,,,,,2922.30.07,A
,,,,,,2922.30.08,A
,,,,,,2922.30.09,C
,,,,,,2922.30.99,A
,,,,,,,
2922.41,Lysine and its esters; salts thereof,2922.41.00,C,2922.41.00,A,2922.41.01,C
,,,,,,2922.41.99,C
,,,,,,,
2922.42,Glutamic acid and its salts,2922.42.00,A,2922.42.10,A,2922.42.01,A
,,,,2922.42.50,A,2922.42.99,A
,,,,,,,
2922.49,"Amino-acids nes, and their esters; salts thereof",2922.49.00,B,2922.49.10,B,2922.49.01,A
,,,,2922.49.20,B,2922.49.02,A
,,,,2922.49.30,B,2922.49.03,A
,,,,2922.49.35,B,2922.49.04,A
,,,,2922.49.40,A,2922.49.05,A
,,,,2922.49.50,A,2922.49.06,A
,,,,,,2922.49.08,A
,,,,,,2922.49.09,A
,,,,,,2922.49.10,A
,,,,,,2922.49.11,C
,,,,,,2922.49.12,A
,,,,,,2922.49.13,A
,,,,,,2922.49.14,A
,,,,,,2922.49.15,A
,,,,,,2922.49.16,A
,,,,,,2922.49.17,A
,,,,,,2922.49.18,A
,,,,,,2922.49.19,A
,,,,,,2922.49.20,A
,,,,,,2922.49.21,A
,,,,,,2922.49.22,A
,,,,,,2922.49.23,A
,,,,,,2922.49.24,C
,,,,,,2922.49.25,A
,,,,,,2922.49.26,A
,,,,,,2922.49.27,A
,,,,,,2922.49.99,B
,,,,,,,
2922.50,"Amino-alcohol-phenols,amino-acid-phenols & other amino-compds",2922.50.00,A,2922.50.10,A,2922.50.01,A
,,,,,,,
,,,,2922.50.13,A,2922.50.02,A
,,,,2922.50.15,A,2922.50.03,A
,,,,2922.50.17,A,2922.50.04,A
,,,,2922.50.19,A,2922.50.05,C
,,,,2922.50.25,A,2922.50.06,A
,,,,2922.50.30,A,2922.50.07,A
,,,,2922.50.40,A,2922.50.08,A
,,,,2922.50.50,A,2922.50.09,C
,,,,,,2922.50.10,A
,,,,,,2922.50.11,A
,,,,,,2922.50.12,A
,,,,,,2922.50.13,A
,,,,,,2922.50.14,A
,,,,,,2922.50.15,A
,,,,,,2922.50.16,A
,,,,,,2922.50.17,C
,,,,,,2922.50.18,A
,,,,,,2922.50.19,A
,,,,,,2922.50.20,A
,,,,,,2922.50.21,A
,,,,,,2922.50.22,A
,,,,,,2922.50.23,A
,,,,,,2922.50.24,D
,,,,,,2922.50.25,A
,,,,,,2922.50.26,A
,,,,,,2922.50.27,A
,,,,,,2922.50.28,A
,,,,,,2922.50.29,A
,,,,,,2922.50.30,A
,,,,,,2922.50.31,A
,,,,,,2922.50.32,A
,,,,,,2922.50.33,A
,,,,,,2922.50.34,A
,,,,,,2922.50.35,A
,,,,,,2922.50.36,A
,,,,,,2922.50.37,A
,,,,,,2922.50.38,C
,,,,,,2922.50.39,A
,,,,,,2922.50.40,A
,,,,,,2922.50.41,A
,,,,,,2922.50.42,A
,,,,,,2922.50.43,A
,,,,,,2922.50.44,A
,,,,,,2922.50.45,A
,,,,,,2922.50.46,A
,,,,,,2922.50.47,A
,,,,,,2922.50.48,A
,,,,,,2922.50.49,A
,,,,,,2922.50.99,A
,,,,,,,
2923.10,Choline and its salts,2923.10.00,A,2923.10.00,A,2923.10.01,A
,,,,,,,
,,,,,,2923.10.02,A
,,,,,,2923.10.03,A
,,,,,,,
2923.20,Lecithins and other phosphoaminolipids,2923.20.00,C,2923.20.00,A,2923.20.01,C
,,,,,,2923.20.99,C
,,,,,,,
2923.90,"Quarternary ammonium salts and hydroxides, nes",2923.90.00,A,2923.90.00,A,2923.90.01,A
,,,,,,2923.90.02,A
,,,,,,2923.90.03,C
,,,,,,2923.90.04,A
,,,,,,2923.90.05,A
,,,,,,2923.90.06,A
,,,,,,2923.90.07,A
,,,,,,2923.90.08,A
,,,,,,2923.90.09,A
,,,,,,2923.90.10,A
,,,,,,2923.90.11,A
,,,,,,2923.90.99,A
,,,,,,,
2924.10,Acyclic amides and their derivatives; salts thereof,2924.10.00,B,2924.10.10,A,2924.10.01,B
,,,,2924.10.50,B,2924.10.02,B
,,,,,,2924.10.03,A
,,,,,,2924.10.04,A
,,,,,,2924.10.05,A
,,,,,,2924.10.06,A
,,,,,,2924.10.07,A
,,,,,,2924.10.08,A
,,,,,,2924.10.09,A
,,,,,,2924.10.10,A
,,,,,,2924.10.11,C
,,,,,,2924.10.12,A
,,,,,,2924.10.13,A
,,,,,,2924.10.14,A
,,,,,,2924.10.15,A
,,,,,,2924.10.99,A
,,,,,,,
2924.21,Ureines and their derivatives; salts thereof,2924.21.00,A,2924.21.10,A,2924.21.01,A
,,,,2924.21.15,A,2924.21.02,A
,,,,2924.21.20,A,2924.21.03,A
,,,,2924.21.30,A,2924.21.04,A
,,,,2924.21.50,A,2924.21.05,A
,,,,,,2924.21.06,C
,,,,,,2924.21.99,A
,,,,,,,
2924.29,"Cyclic amides and their derivatives, nes; salts thereof",2924.29.00,A,2924.29.02,A,2924.29.01,C
,,,,2924.29.04,A,2924.29.02,A
,,,,2924.29.05,A,2924.29.03,A
,,,,2924.29.07,A,2924.29.04,A
,,,,2924.29.09,A,2924.29.05,A
,,,,2924.29.11,A,2924.29.06,A
,,,,2924.29.13,A,2924.29.07,A
,,,,,,,
,,,,2924.29.14,A,2924.29.08,A
,,,,2924.29.15,A,2924.29.09,C
,,,,2924.29.19,A,2924.29.10,A
,,,,2924.29.25,A,2924.29.11,D
,,,,2924.29.35,A,2924.29.12,A
,,,,2924.29.39,A,2924.29.13,C
,,,,2924.29.42,A,2924.29.14,C
,,,,2924.29.44,B,2924.29.15,A
,,,,2924.29.46,C,2924.29.16,A
,,,,2924.29.50,A,2924.29.17,A
,,,,,,2924.29.18,A
,,,,,,2924.29.19,A
,,,,,,2924.29.20,A
,,,,,,2924.29.22,A
,,,,,,2924.29.23,A
,,,,,,2924.29.24,A
,,,,,,2924.29.25,A
,,,,,,2924.29.26,A
,,,,,,2924.29.27,A
,,,,,,2924.29.28,A
,,,,,,2924.29.29,C
,,,,,,2924.29.30,A
,,,,,,2924.29.31,A
,,,,,,2924.29.32,A
,,,,,,2924.29.33,A
,,,,,,2924.29.34,C
,,,,,,2924.29.35,A
,,,,,,2924.29.36,A
,,,,,,2924.29.37,A
,,,,,,2924.29.38,A
,,,,,,2924.29.39,A
,,,,,,2924.29.40,A
,,,,,,2924.29.41,A
,,,,,,2924.29.42,A
,,,,,,2924.29.43,A
,,,,,,2924.29.44,A
,,,,,,2924.29.45,A
,,,,,,2924.29.46,A
,,,,,,2924.29.47,A
,,,,,,2924.29.99,B
,,,,,,,
2925.11,Saccharin and its salts,2925.11.00,A,2925.11.00,A,2925.11.01,A
,,,,,,,
2925.19,"Imides and their derivatives, nes; salts thereof",2925.19.00,A,2925.19.10,A,2925.19.01,A
,,,,2925.19.20,C,2925.19.02,A
,,,,2925.19.50,A,2925.19.03,A
,,,,,,2925.19.04,A
,,,,,,2925.19.99,A
,,,,,,,
2925.20,Imines and their derivatives; salts thereof,2925.20.10,D,2925.20.10,A,2925.20.01,A
,,2925.20.90,A,2925.20.20,A,2925.20.02,A
,,,,,,,
,,,,2925.20.30,A,2925.20.03,A
,,,,2925.20.50,A,2925.20.04,A
,,,,,,2925.20.99,A
,,,,,,,
2926.10,Acrylonitrile,2926.10.00,A,2926.10.00,A,2926.10.01,D
,,,,,,,
2926.20,1-cyanoguanidine (dicyandiamide),2926.20.00,A,2926.20.00,D,2926.20.01,A
,,,,,,,
2926.90,"Nitrile-function compounds, nes",2926.90.10,D,2926.90.10,B,2926.90.01,A
,,2926.90.20,A,2926.90.21,A,2926.90.02,B
,,2926.90.90,A,2926.90.23,A,2926.90.03,B
,,,,2926.90.25,A,2926.90.04,A
,,,,2926.90.27,A,2926.90.05,A
,,,,2926.90.35,B,2926.90.06,A
,,,,2926.90.40,A,2926.90.07,A
,,,,2926.90.50,D,2926.90.08,A
,,,,,,2926.90.99,A
,,,,,,,
2927.00,"Diazo-, azo- or azoxy-compounds",2927.00.00,D,2927.00.10,A,2927.00.01,A
,,,,2927.00.15,A,2927.00.02,A
,,,,2927.00.20,A,2927.00.03,A
,,,,2927.00.30,A,2927.00.04,A
,,,,2927.00.40,A,2927.00.05,A
,,,,2927.00.50,C,2927.00.99,A
,,,,,,,
